_id,civility,howWeMet,mailing,createdAt,updatedAt,validatedEmail,data
6564b5f46df3a711cd494c2e,male,bouche à oreille,False,27/10/2023,2023-12-04 09:04:18.752,True,user
6564b1d2ddcee07998d010d0,female,autre,False,27/10/2023,2023-11-27 15:50:41.232,True,user
6564a618ddcee07998d010c1,male,bouche à oreille,False,27/10/2023,2023-12-04 09:02:08.169,True,user
6564676fddcee07998d01000,female,autre,False,27/10/2023,2023-12-04 12:50:55.491,True,user
656466fdddcee07998d00ffc,female,autre,False,27/10/2023,2023-11-30 10:13:07.430,True,user
6563a064ddcee07998d00ed8,female,linkedin,False,26/10/2023,2023-11-26 19:47:05.257,True,user
6563746fddcee07998d00ebf,female,bouche à oreille,False,26/10/2023,2023-11-26 17:21:19.108,True,user
6560d335ddcee07998d00b35,male,linkedin,False,24/10/2023,2023-11-26 17:35:19.494,True,user
6560b6a1ddcee07998d00abc,male,autre,True,24/10/2023,2023-11-25 17:34:43.845,True,user
6560b29addcee07998d00ab9,female,parrainage,True,24/10/2023,2023-12-04 10:50:09.258,True,user
656077064054c942bf3e91c7,female,parrainage,False,24/10/2023,2023-11-30 13:34:10.762,True,user
655f89da4c24a02f8f55eb18,female,bouche à oreille,True,23/10/2023,2023-11-29 21:59:15.058,True,user
655f73524c24a02f8f55eb0a,female,autre,False,23/10/2023,2023-11-23 16:42:10.203,True,user
655f253c4c24a02f8f55ea8d,female,bouche à oreille,False,23/10/2023,2023-11-30 09:40:52.110,True,user
655dc5300972f25b9dfca8d9,female,autre,False,22/10/2023,2023-11-22 09:26:46.431,True,user
655cd9d60972f25b9dfca7a6,female,bouche à oreille,True,21/10/2023,2023-11-27 14:16:06.748,True,user
655cceb60972f25b9dfca78e,female,bouche à oreille,False,21/10/2023,2023-11-21 15:47:34.332,True,user
655cc9a40972f25b9dfca77f,male,linkedin,False,21/10/2023,2023-11-21 15:15:48.812,True,user
655cc8830972f25b9dfca77c,male,linkedin,False,21/10/2023,2023-11-29 08:29:33.346,True,user
655cbc380972f25b9dfca74c,male,bouche à oreille,True,21/10/2023,2023-11-21 14:18:32.600,True,user
