_id,type,companyOrSchool,civility,howWeMet,createdAt,updatedAt,validatedEmail,company.type,company.address,company.tvaNumber,lastConnection,,"La colonne ""companyOrSchool"" est une précision du type de client. La collection profile contient les profils de type ""expert"" et ""company"".
Dans les profils de type ""company"" nous faisons la distinctions entre les entreprises (company) et les écoles (school). "
637c819a5611a441750a596a,company,school,female,bouche à oreille,22/10/2022,1669104378769,VRAI,ASSO,"246 Boulevard Godard, Bordeaux, France",0,,,
637b7b6f5611a441750a5867,company,company,male,bouche à oreille,21/10/2022,1691761251055,VRAI,SAS,"2 Promenade des Forges, Bordeaux, France",20,1691761251049,,
637a32775611a441750a56e3,company,company,female,recherche web,20/10/2022,1668952695242,VRAI,,,,,,
636e0ee6231df95a4ccc0512,company,school,male,recherche web,11/10/2022,1668157221086,VRAI,SAS,"62 Rue Doudeauville, Paris, France",0,,,
636d0a1f231df95a4ccc042b,company,school,male,bouche à oreille,10/10/2022,1668776433739,VRAI,ASSO,"264 Boulevard Godard, Bordeaux, France",0,1668776433738,,
636d0552231df95a4ccc0405,company,school,male,bouche à oreille,10/10/2022,1694506434236,VRAI,SARL,12 rue Planchat - 75020 Paris 20,0,1694506434234,,
636d04f6231df95a4ccc0402,company,school,female,bouche à oreille,10/10/2022,1668089632847,VRAI,SA,"12 Rue Planchat, 75020 Paris, France",0,,,
636b8829231df95a4ccc01f5,company,school,female,autre,09/10/2022,1695040881188,VRAI,ASSO,"7 Rue Diderot, Arras, France",0,1695040881185,,
636b87af231df95a4ccc01f1,company,school,female,autre,09/10/2022,1684243627318,VRAI,ASSO,8 BD LOUIS XIV - 59800 LILLE,,1684243627315,,
6356d57c0fd435728656c8c6,company,school,male,autre,24/010/2022,1666635132865,VRAI,ASSO,680 CRS DE LA LIBERATION 33400 TALENCE,,,,
63568c420fd435728656c85c,company,school,female,bouche à oreille,24/010/2022,1666616622205,VRAI,ASSO,"Campus CESI, 230 Rue Rolland Garros, 29490 Guipavas, France",,,,
635647920fd435728656c7bd,company,company,male,bouche à oreille,24/010/2022,1666598865782,VRAI,SAS,"85 Rue Edouard Vaillant, Levallois-Perret, France",,,,
634fe4e80fd435728656c216,company,company,male,recherche web,19/010/2022,1666180328007,VRAI,,,,,,
6347ccab0fd435728656b9ca,company,school,female,autre,13/010/2022,1665649835393,VRAI,SARL,"26 Rue Raze, Bordeaux, France",,,,
633ff4d1bcc18741abdf004e,company,school,female,bouche à oreille,07/010/2022,1677593816171,VRAI,,53 cours Albert Thomas 69003 Lyon,,1677593816168,,
